"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"4",6,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",6,"IN",7.32
"4",6,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches",2,"IN",7.32
"4",6,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns",1,"STAR BAKER",7.32
"4",7,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille",6,"IN",7.76
"4",7,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille",1,"IN",7.76
"4",7,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille",3,"OUT",7.76
"4",7,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts",2,"IN",7.76
"4",7,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers",5,"STAR BAKER",7.76
"4",7,"Kimberley","Wilson",30,"Psychologist","London","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4,"IN",7.76
"4",8,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3,"IN",7.41
"4",8,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake",4,"IN",7.41
